2025-11-24 22:54:18 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:54:18.707486", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.297861099243164, "success": true}
2025-11-24 22:54:18 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.30s
2025-11-24 22:54:18 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:55:18 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:55:19 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:55:20 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:55:20.918106", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.502791166305542, "latest_price": 24905.5}}
2025-11-24 22:55:20 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:55:20.919464", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.502791166305542, "success": true}
2025-11-24 22:55:20 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.50s
2025-11-24 22:55:20 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:56:12 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:56:13 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:56:14 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:56:14.898489", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3885488510131836, "latest_price": 24907.5}}
2025-11-24 22:56:14 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:56:14.898489", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3885488510131836, "success": true}
2025-11-24 22:56:14 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.39s
2025-11-24 22:56:14 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:57:08 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:57:08 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:57:10 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:57:10.264157", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.1910429000854492, "latest_price": 24903.75}}
2025-11-24 22:57:10 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:57:10.266416", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.1910429000854492, "success": true}
2025-11-24 22:57:10 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.19s
2025-11-24 22:57:10 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'index_label'
2025-11-24 23:12:43 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 23:12:44 | INFO     | YahooRSI | Client object created successfully
2025-11-24 23:12:45 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:12:45.928019", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.4780619144439697, "latest_price": 24882.0}}
2025-11-24 23:12:45 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:12:45.929036", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.4780619144439697, "success": true}
2025-11-24 23:12:45 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.48s
2025-11-24 23:12:45 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() takes from 2 to 3 positional arguments but 4 were given
2025-11-24 23:14:05 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 23:14:06 | INFO     | YahooRSI | Client object created successfully
2025-11-24 23:14:07 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:14:07.934633", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.2147839069366455, "latest_price": 24888.0}}
2025-11-24 23:14:07 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:14:07.935544", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.2147839069366455, "success": true}
2025-11-24 23:14:07 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.21s
2025-11-24 23:14:07 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 23:22:11 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 23:22:12 | INFO     | YahooRSI | Client object created successfully
2025-11-24 23:22:13 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:22:13.699650", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3539009094238281, "latest_price": 24893.0}}
2025-11-24 23:22:13 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:22:13.700650", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3539009094238281, "success": true}
2025-11-24 23:22:13 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.35s
2025-11-24 23:22:13 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 23:29:29 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 23:29:29 | INFO     | YahooRSI | Client object created successfully
2025-11-24 23:29:31 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:29:31.591981", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.6652777194976807, "latest_price": 24896.0}}
2025-11-24 23:29:31 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:29:31.592912", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.6652777194976807, "success": true}
2025-11-24 23:29:31 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.67s
2025-11-24 23:29:32 | INFO     | YahooRSI | backup of data is completed
2025-11-24 23:54:36 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 23:54:37 | INFO     | YahooRSI | Client object created successfully
2025-11-24 23:54:39 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:54:39.429480", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.7316131591796875, "latest_price": 24922.25}}
2025-11-24 23:54:39 | INFO     | YahooRSI | {"timestamp": "2025-11-24T23:54:39.430498", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.7316131591796875, "success": true}
2025-11-24 23:54:39 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.73s
2025-11-24 23:54:39 | INFO     | YahooRSI | backup of data is completed
2025-11-25 00:17:12 | INFO     | YahooRSI | Attempting authentication with Schwab API...
